dataset,algorithm,base_algorithm,ls_mode,runs,all_feasible,best_cost,mean_cost,median_cost,std_cost,best_gap_percent,mean_gap_percent,median_gap_percent,std_gap_percent,worst_gap_percent,mean_runtime_sec,std_runtime_sec,median_runtime_sec,mean_time_to_best_sec,std_time_to_best_sec,mean_iter_to_best,median_iter_to_best,mean_eval_to_best,max_capacity_violation_count,max_vehicle_violation_count,max_missing_count,max_duplicate_count
A-n60-k9,M-WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,M-WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,M-WOA,WOA,2opt_qualitybalanced_relocate,30,True,1427.0,1577.1666666666667,1565.5,99.82815694752767,5.391432791728213,16.482028557360906,15.620384047267356,7.372832861708105,37.001477104874446,7.857061646666663,3.249349187301211,6.897619100000043,3.935716143333343,2.951798479355039,109.6,115.0,4362.866666666667,0.0,0.0,0.0,0.0
A-n60-k9,M-WOA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,M-SSA,SSA,2opt_qualitybalanced_relocate,30,True,1425.0,1495.0,1499.5,41.89560095416159,5.2437223042836045,10.413589364844904,10.745937961595272,3.0942098193620073,18.685376661742986,9.338112153333373,3.7834870929730102,7.821681500000068,7.507099576666686,2.9201061523915195,173.8,173.5,6917.133333333333,0.0,0.0,0.0,0.0
A-n60-k9,M-SSA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,M-SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n60-k9,M-SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,WOA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,WOA,WOA,none,30,True,3130.0,3438.4333333333334,3423.0,184.13182746352538,77.53828701077708,95.03308754017773,94.15768576290414,10.44423298148187,121.5541690300624,0.5116739566666714,0.0858500617039258,0.49606734999997565,0.36075663333336555,0.1340584979936845,119.6,135.5,4767.066666666667,0.0,0.0,0.0,0.0
A-n80-k10,SSA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,SSA,SSA,none,30,True,3379.0,3761.5666666666666,3754.0,154.81550384210573,91.66193987521272,113.3616940820571,112.93250141803745,8.781367206018475,127.2830402722632,0.7296387200000026,0.07635915662094081,0.7274250000000393,0.6369394666666646,0.08145983176419028,157.03333333333333,155.0,6251.066666666667,0.0,0.0,0.0,0.0
A-n80-k10,SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,M-WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,M-WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n80-k10,M-WOA,WOA,2opt_qualitybalanced_relocate,30,True,1888.0,2069.0333333333333,2067.0,99.83934796611432,7.090187180941577,17.358668935526566,17.243335224049915,5.663037320823273,31.93420306296086,8.9509845366667,2.088902696409681,8.719813699999918,6.39906055000005,2.471022353923551,150.03333333333333,167.0,5981.933333333333,0.0,0.0,0.0,0.0
A-n80-k10,M-WOA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
